-5891	-7736	-4124	7540	-181	8322	-4442	4492	-140	2092	9193	5873	-9251	-8426	-6090	6277	6176	-3416	2358	-629
-6853	-4852	1037	-6671	1212	-7513	4137	8487	-4521	9114	8092	1786	-7339	-8211	-7546	-272	9844	-3727	1419	5062
-9456	-6223	-3339	-2961	-3639	3408	-8825	-8924	-5344	4947	-1450	-5435	437	3694	-5014	8866	1700	9349	-6115	3036
9977	7124	9478	4304	-2142	-956	1186	-4475	2406	1972	2383	-2126	691	9007	1045	7397	101	8725	-5852	-4269
-682	-8178	629	3475	7957	-8233	-3552	-4688	-2103	-6598	-7655	-5329	6991	-7172	-9246	-8698	5644	635	-4556	4400
-1781	-5273	-5585	-9055	-1766	4923	-427	1977	8455	3905	-2206	6954	5955	-4997	-9260	-7105	345	-1575	9723	6615
-1063	813	4985	-5459	-8743	-5552	2444	-7921	-2291	6934	-9388	-6944	-176	6565	-2356	-8597	-386	-970	-1298	-9155
-9113	-778	2721	919	-7497	749	-4969	-7105	-8652	7561	-5373	-2618	4675	-7079	-9728	5550	5633	-6944	-8649	-7112
-7820	6094	-8298	-9226	-29	6401	-3855	-6219	418	8719	-8480	1526	-684	-1004	-4604	4517	-4238	-912	-258	-9473
-1920	-4292	-7345	-9022	8187	9943	7740	-8667	-5666	-7092	6384	-3148	7123	2990	1056	-237	-6240	-6072	5071	5294
4544	3456	7941	6796	-6540	6180	-3214	-9461	-9523	-8086	-5466	1103	7166	9921	8985	7322	4	8957	-868	-4934
-5140	-3495	-5476	-9306	-7923	-8170	4969	-8835	-3044	1104	-1794	-9936	-227	5179	7361	-5105	3007	5483	3217	5888
-5625	-3573	6338	3868	-2697	4153	-9568	5250	-7880	5662	2827	-8375	8417	-9714	-4085	3733	-1301	2380	342	6120
-6435	-4714	1766	-3054	9175	2097	7911	-3186	-5191	-5140	-4225	1989	-8472	-1459	-3999	-6888	-4157	3148	-3755	-9221
6864	2675	7859	7050	6959	-7193	4591	-4014	-8934	6323	5310	-5234	-5921	-6141	-7780	-7439	3233	1934	-1043	4349
-1790	-9144	-4963	5637	4185	-1410	-2345	-3074	-5139	847	-4915	673	-5572	-3265	6868	-2238	1614	3721	-7719	6761
-1479	8654	5630	-9977	4927	-4945	9345	958	-9669	4084	-8016	7480	-3688	3378	5145	-1908	5016	-3871	7421	5180
